"Product Line","SFDALicense:ProductCNname","SFDALicense:Product EN name","SFDALicense: First Approved Date","Abbr.","REF","SMN","EAN/UPC(DI)","最小销售单元中使用单元的数量","Unit of Use Device Identifier","Package","SFDALicense","Approved Date","Effective Date","SFDALicense:ExpiredDate","SFDALicense:Chinese name of Certificate Holder","SFDALicense:English name of Certificate Holder","SFDALicense:Certificate Holder","SFDALicense:Holder's Address","SFDALicense:Holder's Address2","manufacture's Address","Manufacturer city","IFU valid from Date","IFU valid to Date","CN IFU IssuedDate","Label valid from Date","Label valid to Date","CN Label IssuedDate","Reviewer","ReviewDate","EN IFU Version","EXP(Month)","RA Check Status","CER History (FY-TYPE-Class-CER)","Status","SFDALicense:产品类别(设备/耗材)","SFDALicense:器械类别(器械/体外诊断)","SFDALicense:代理人住所","SFDALicense:代理人名称","SFDALicense:IVD注册申请表分类","SFDALicense:备注(注册证备注信息)","SFDALicense: Abbreviation","SFDALicense:生产标识是否包含失效日期","SFDALicense:生产标识是否包含序列号","SFDALicense:生产标识是否包含批号","SFDALicense:生产标识是否包含生产日期","UDI Database Add/Updated","RA Owner","Released IFU Date","Change EN VS CN","Released IFU no.","Released Label No.","Released Label Date","UDI Database Description","Change Description","ID","Modified","Modified By","BU","License"
"Atellica CI;Atellica IM","雌二醇校准品","Calibrator 30 (CAL 30)","2012-02-27","Calibrator 30","10995496","10995496","00630414598239","6","00630414190709","低值校准品(冻干粉):6×2.0mL/瓶;高值校准品(冻干粉):6×2.0mL/瓶(Atellica IM系列)","国械注进20192401862","2025-05-20","2025-05-20","2029-03-14","美国西门子医学诊断股份有限公司","Siemens Healthcare Diagnostics Inc.","SHD Inc","511 Benedict Avenue, Tarrytown, New York 10591, USA","Tarrytown","333 Coney Street, East Walpole, Massachusetts 02032, USA","Walpole","2024-03-15","2029-03-14",,"2024-03-15","2029-03-14",,"Liu Mo","2019-04-04","08.32 10995288_01_CAL30_AIM_EN","16",,"2019_Renewal_II_国械注进20192401862","Approved","耗材","体外诊断试剂","中国(上海)自由贸易试验区英伦路38号四层410、411、412室","西门子医学诊断产品(上海)有限公司","6840-24-003用于激素检测的试剂","本文件与“国械注进20192401862”注册证共同使用。","Calibrator 30","是","否","是","否",,,"2019-04-11",,"10995496_SHD_20190315_CNA","10995496_SHD_20190315_CNB","2019-04-11",,,"5426","2025-05-28 09:07","TANG, XU","CAI","国械注进20192401862"
"Atellica CI;Atellica IM","雌二醇校准品","Calibrator 30 (CAL 30)","2012-02-27","Calibrator 30","10995495","10995495","00630414598222","2","00630414190686","低值校准品(冻干粉):2×2.0mL/瓶;高值校准品(冻干粉):2×2.0mL/瓶(Atellica IM系列)","国械注进20192401862","2025-05-20","2025-05-20","2029-03-14","美国西门子医学诊断股份有限公司","Siemens Healthcare Diagnostics Inc.","SHD Inc","511 Benedict Avenue, Tarrytown, New York 10591, USA","Tarrytown","333 Coney Street, East Walpole, Massachusetts 02032, USA","Walpole","2024-03-15","2029-03-14",,"2024-03-15","2029-03-14",,"Liu Mo","2019-04-04","08.32 10995288_01_CAL30_AIM_EN","16",,"2019_Renewal_II_国械注进20192401862","Approved","耗材","体外诊断试剂","中国(上海)自由贸易试验区英伦路38号四层410、411、412室","西门子医学诊断产品(上海)有限公司","6840-24-003用于激素检测的试剂","本文件与“国械注进20192401862”注册证共同使用。","Calibrator 30","是","否","是","否",,,"2019-04-11",,"10995495_SHD_20190315_CNA","10995495_SHD_20190315_CNB","2019-04-11",,,"5425","2025-05-28 09:06","TANG, XU","CAI","国械注进20192401862"
"POC:Blood Gas","全自动血气/电解质和生化分析仪","Rapidpoint 500 Instrument","2012-09-10","RP 500 Instrument","10696855","10696855","00630414590851","1",,"Rapidpoint 500","国械注进20162221909","2025-05-20","2025-05-20","2030-10-14","美国西门子医学诊断股份有限公司","Siemens Healthcare Diagnostics Inc.","SHD Inc","511 Benedict Avenue, Tarrytown, New York 10591 USA","Tarrytown","Northern Road, Chilton Industrial Estate, Sudbury, Suffolk CO 10 2XQ United Kingdom","Sudbury","2025-01-17","2025-10-14","2025-01-23","2025-01-17","2025-10-14","2025-01-23","Dai Jin Xing","2021-07-19","10629521 Rev. A","7年",,"2021_Change_II_国械注进20162221909
_Filing Change_II_国械注进20162221909
_Renewal_II_国械注进20162221909","Approved","设备","器械","中国(上海)自由贸易试验区英伦路38号四层410、411、412室","西门子医学诊断产品(上海)有限公司"," ","/","RP 500 Instrument","否","是","否","否",,,"2021-07-21",,"44396","2021-02-08","2021-02-24",,,"4604","2025-05-26 10:17","Li, Bo Fang","POC","国械注进20162221909"
"Immulite 2000","EB病毒衣壳抗原IgM抗体测定试剂盒(化学发光法)","IMMULITE 2000 EBV-VCA IgM","2016-04-19","L2KEM EB病毒衣壳抗原IgM","L2KEM2","10488005","00630414999845","1",,"200人份/盒","国械注进20163401512","2025-05-20","2025-05-20","2025-12-20","英国西门子医学诊断产品有限公司","Siemens Healthcare Diagnostics Products Limited","SHDPL","Glyn Rhonwy, Llanberis, Gwynedd LL55 4EL, United Kingdom","Llanberis","Glyn Rhonwy, Llanberis, Gwynedd LL55 4EL, United Kingdom","Llanberis","2020-12-21","2025-12-20","2021-01-25","2020-12-21","2025-12-20","2021-01-25","Wang Yi He","2021-01-21",,"6",,"2016_New Product_III_国械注进20163401512
2021_Renewal_III_国械注进20163401512","Approved","耗材","体外诊断试剂","中国(上海)自由贸易试验区英伦路38号四层410、411、412室","西门子医学诊断产品(上海)有限公司","6840-23-001与中华人民共和国传染病防治法所述疾病相关的病原体抗原、抗体以及核酸等检测试剂"," ","L2KEM EB病毒衣壳抗原IgM","是","否","是","否",,,"2021-01-25",,"10488005_L2KEM2_SHDP_20201221_CNA","10488005_L2KEM2_SHDP_20201221_CNB","2021-01-25",,,"4918","2025-05-26 09:31","MA, NA","CAI","国械注进20163401512"
"Atellica CI;Atellica CH","载脂蛋白B测定试剂盒(免疫比浊法)","Apolipoprotein B(APO B) Reagents","2005-06-08","APO B","11097626","11097626","00630414596235","1",,"2×150测试/盒(Atellica 系列)","国械注进20172400738","2025-05-20","2025-05-20","2026-09-05","美国西门子医学诊断股份有限公司","Siemens Healthcare Diagnostics Inc.","SHD Inc","511 Benedict Avenue, Tarrytown, New York 10591, USA","Tarrytown","Ardmore, 55 Diamond Road, Crumlin, Co Antrim, BT29 4QY, UK.","Crumlin UK","2021-09-06","2026-09-05","2021-09-29","2021-09-06","2026-09-05","2021-09-29","Zhang Tingting","2021-09-23",,"15",," 
2017_Renewal_II_国械注进20172400738
2018_Change_II_国械注进20172400738","Approved","耗材","体外诊断试剂","中国(上海)自由贸易试验区英伦路38号四层410、411、412室","西门子医学诊断产品(上海)有限公司","6840-24-005用于酯类检测的试剂"," ","APO B","是","否","是","否",,,"2021-09-29",,"11097626_SHD_20210906_CNA","11097626_SHD_20210906_CNB","2021-09-29",,,"4945","2025-05-22 14:47","Wang, Qing","CAI","国械注进20172400738"
"Centaur","黄体生成素测定试剂盒(直接化学发光法)","LH","2010-03-22","LH","01756298(110753)","10309971","00630414177229","1",,"60测试/盒(ADVIA Centaur系列)","国械注进20162404645","2025-05-20","2025-05-20","2031-04-19","美国西门子医学诊断股份有限公司","Siemens Healthcare Diagnostics Inc.","SHD Inc","511 Benedict Avenue, Tarrytown, New York 10591, USA","Tarrytown","333 Coney Street, East Walpole, Massachusetts 02032, USA","Walpole","2022-05-18","2026-04-19","2022-11-23","2022-05-18","2026-04-19","2022-11-23","Song Yuan Yuan","2021-04-30","CP: 10629981_EN Rev. E, 2011-06; XP:10629882_EN Rev. M, 2011-06","17",,"2017_Renewal_II_国械注进20162404645
2018_Change_II_国械注进20162404645
2019_Change_II_国械注进20162404645
2021_Change_II_国械注进20162404645
_Renewal_II_国械注进20162404645","Approved","耗材","体外诊断试剂","中国(上海)自由贸易试验区英伦路38号四层410、411、412室","西门子医学诊断产品(上海)有限公司","6840-24-003用于激素检测的试剂","本文件与“国械注进20162404645”注册证共同使用。","LH","是","否","是","否",,,"2021-05-06",,"10309971_01756298(110753)(CP)_SHD_20220518_CNA / 10309971_01756298(110753)(XP/XPT)_SHD_20220518_CNA","10309971_01756298(110753)_SHD_20220518_CNB","2021-05-06",,,"5288","2025-05-22 13:36","Yang, Xiao Xue","CAI","国械注进20162404645"
"Centaur","黄体生成素测定试剂盒(直接化学发光法)","LH","2010-03-22","LH","02212941(110754)","10309972","00630414177236","5","00630414003221","300测试/盒(ADVIA Centaur系列)","国械注进20162404645","2025-05-20","2025-05-20","2031-04-19","美国西门子医学诊断股份有限公司","Siemens Healthcare Diagnostics Inc.","SHD Inc","511 Benedict Avenue, Tarrytown, New York 10591, USA","Tarrytown","333 Coney Street, East Walpole, Massachusetts 02032, USA","Walpole","2022-05-18","2026-04-19","2022-11-23","2022-05-18","2026-04-19","2022-11-23","Song Yuan Yuan","2021-04-30","CP: 10629981_EN Rev. E, 2011-06; XP:10629882_EN Rev. M, 2011-06","17",,"2017_Renewal_II_国械注进20162404645
2018_Change_II_国械注进20162404645
2019_Change_II_国械注进20162404645
2021_Change_II_国械注进20162404645
_Renewal_II_国械注进20162404645","Approved","耗材","体外诊断试剂","中国(上海)自由贸易试验区英伦路38号四层410、411、412室","西门子医学诊断产品(上海)有限公司","6840-24-003用于激素检测的试剂","本文件与“国械注进20162404645”注册证共同使用。","LH","是","否","是","否",,,"2021-05-06",,"10309972_02212941(110754)(CP)_SHD_20220518_CNA / 10309972_02212941(110754)(XP/XPT)_SHD_20220518_CNA","10309972_02212941(110754)_SHD_20220518_CNB","2021-05-06",,,"5289","2025-05-22 13:36","Yang, Xiao Xue","CAI","国械注进20162404645"
"Centaur","雌二醇校准品","Calibrator 30 (CAL 30)","2012-02-27","Calibrator 30","10379810","10379810","00630414578484","1",,"低值校准品(冻干粉):2×2.0mL/瓶;高值校准品(冻干粉):2×2.0mL/瓶(ADVIA Centaur系列)","国械注进20192401862","2025-05-20","2025-05-20","2029-03-14","美国西门子医学诊断股份有限公司","Siemens Healthcare Diagnostics Inc.","SHD Inc","511 Benedict Avenue, Tarrytown, New York 10591, USA","Tarrytown","333 Coney Street, East Walpole, Massachusetts 02032, USA","Walpole","2024-03-15","2029-03-14",,"2024-03-15","2029-03-14",,"Liu Mo","2019-04-04","08.32 10994384B_CAL 30","16",,"2019_Renewal_II_国械注进20192401862","Approved","耗材","体外诊断试剂","中国(上海)自由贸易试验区英伦路38号四层410、411、412室","西门子医学诊断产品(上海)有限公司","6840-24-003用于激素检测的试剂","本文件与“国械注进20192401862”注册证共同使用。","Calibrator 30","是","否","是","否",,,"2019-04-11",,,,"2019-04-11",,,"5424","2025-05-22 10:18","Yang, Xiao Xue","CAI","国械注进20192401862"
"Centaur","雌二醇校准品","Calibrator 30 (CAL 30)","2012-02-27","Calibrator 30","10379811","10379811","00630414578491","1",,"低值校准品(冻干粉):6×2.0mL/瓶;高值校准品(冻干粉):6×2.0mL/瓶(ADVIA Centaur系列)","国械注进20192401862","2025-05-20","2025-05-20","2029-03-14","美国西门子医学诊断股份有限公司","Siemens Healthcare Diagnostics Inc.","SHD Inc","511 Benedict Avenue, Tarrytown, New York 10591, USA","Tarrytown","333 Coney Street, East Walpole, Massachusetts 02032, USA","Walpole","2024-03-15","2029-03-14",,"2024-03-15","2029-03-14",,"Liu Mo","2019-04-04","08.32 10994384B_CAL 30","16",,"2019_Renewal_II_国械注进20192401862","Approved","耗材","体外诊断试剂","中国(上海)自由贸易试验区英伦路38号四层410、411、412室","西门子医学诊断产品(上海)有限公司","6840-24-003用于激素检测的试剂","本文件与“国械注进20192401862”注册证共同使用。","Calibrator 30","是","否","是","否",,,"2019-04-11",,,,"2019-04-11",,,"5423","2025-05-22 10:12","Yang, Xiao Xue","CAI","国械注进20192401862"
"Atellica CI;Atellica IM","催乳素测定试剂盒(直接化学发光法)","Prolactin(PRL)","2010-03-22","PRL","10995656","10995656","00630414599748","1",,"50测试/盒(Atellica IM系列)","国械注进20162404610","2025-04-15","2026-05-17","2031-05-16","美国西门子医学诊断股份有限公司","Siemens Healthcare Diagnostics Inc.","SHD Inc","511 Benedict Avenue, Tarrytown, New York 10591, USA","Tarrytown","333 Coney Street, East Walpole, Massachusetts 02032, USA","Walpole","2021-05-17","2026-05-16","2021-06-04","2021-05-17","2026-05-16","2021-06-04","Song Yuan Yuan","2021-06-03",,"12",,"2017_Renewal_II_国械注进20162404610
2018_Change_II_国械注进20162404610
2019_Change_II_国械注进20162404610
2021_Renewal_II_国械注进20162404610","Approved","耗材","体外诊断试剂","中国(上海)自由贸易试验区英伦路38号四层410、411、412室","西门子医学诊断产品(上海)有限公司","6840-24-003用于激素检测的试剂"," 延续注册产品技术要求/说明书未发生变化，沿用原核发的产品技术要求/说明书。","PRL","是","否","是","否",,,"2021-06-04",,"10995656_SHD_20210517_CNA","10995656_SHD_20210517_CNB","2021-06-04",,,"5383","2025-05-20 15:17","TANG, XU","CAI","国械注进20162404610"
"Atellica CI;Atellica IM","催乳素测定试剂盒(直接化学发光法)","Prolactin(PRL)","2010-03-22","PRL","10995655","10995655","00630414599731","5","00630414007748","250测试/盒(Atellica IM系列)","国械注进20162404610","2025-04-15","2026-05-17","2031-05-16","美国西门子医学诊断股份有限公司","Siemens Healthcare Diagnostics Inc.","SHD Inc","511 Benedict Avenue, Tarrytown, New York 10591, USA","Tarrytown","333 Coney Street, East Walpole, Massachusetts 02032, USA","Walpole","2021-05-17","2026-05-16","2021-06-04","2021-05-17","2026-05-16","2021-06-04","Song Yuan Yuan","2021-06-03",,"12",,"2017_Renewal_II_国械注进20162404610
2018_Change_II_国械注进20162404610
2019_Change_II_国械注进20162404610
2021_Renewal_II_国械注进20162404610","Approved","耗材","体外诊断试剂","中国(上海)自由贸易试验区英伦路38号四层410、411、412室","西门子医学诊断产品(上海)有限公司","6840-24-003用于激素检测的试剂"," 延续注册产品技术要求/说明书未发生变化，沿用原核发的产品技术要求/说明书。","PRL","是","否","是","否",,,"2021-06-04",,"10995655_SHD_20210517_CNA","10995655_SHD_20210517_CNB","2021-06-04",,,"5382","2025-05-20 15:17","TANG, XU","CAI","国械注进20162404610"
