"ID","SFDALicense","SMN","First Approve Date","Approved Date","ExpiredDate","ProductType","BU","Class","Product line","ProductCNname","Product EN name","CurrentState","Chinese name of Certificate Holder","English name of Certificate Holder","Certificate Holder","Holder's Address","Holder's Address (City)","产品类别(设备/耗材)","器械类别(器械/体外诊断)","主要组成成分","预期用途","代理人名称","代理人住所","器械目录分类","器械目录分类: 编码","IVD注册申请表分类","生产标识是否包含批号","生产标识是否包含序列号","体外诊断试剂产品分类(类别)","体外诊断试剂产品分类（名称）","生产标识是否包含生产日期","生产标识是否包含失效日期","备注(注册证备注信息)","ChangeHistory","ALLSMN","ALLSMN:Effective Date","ALLSMN:ApprovedDate","ALLSMN: Reviewer","Abbreviation","Reviewer","RA Owner","Created","Modified","Storage Condition","编辑次数","PM No.","PM No.: Product Abbreviation","ExpRenewIn2Years","Modified By","CER_Link Material List","Title","Title","TriggerApproval"
"7773","国械注进20172402279","10995629;10310438;","2005-09-03","2022-01-13","2027-07-18","Reagent","CAI","2","[""Centaur"",""Atellica IM""]","胰岛素校准液","Insulin Calibrator","Publish","美国西门子医学诊断股份有限公司","Siemens Healthcare Diagnostics Inc.","SHD Inc","511 Benedict Avenue, Tarrytown, New York 10591, USA","Tarrytown","耗材","体外诊断试剂","试剂由低值校准液，高值校准液，校准液定值卡和条形码标签组成。（具体内容详见说明书）","该产品用于体外对胰岛素测试项目的校准。","西门子医学诊断产品(上海)有限公司","中国(上海)自由贸易试验区英伦路38号四层410、411、412室",,,"6840-24-003用于激素检测的试剂","是","否","12 Ⅱ-3 用于激素检测的试剂","6840-327 胰岛素检测试剂","否","是"," ","2017_Renewal_II_国械注进20162405238
2018_Change_II_国械注进20172402279","10995629,10310438","2022-07-19; 2022-07-19","2022-01-13; 2022-01-13","Wang Qing; Wang Qing","Insulin Calibrator","[]",,"2022-02-10 13:58","2024-08-23 13:36","2 ～ 8℃","1",,,"No","ZHOU, HUI","国械注进20172402279","CAI","CAI","False"
"7774","国械注进20172402241","10380969;10380959;","2005-05-24","2021-07-16","2026-07-15","Reagent","CAI","2","[""Immulite 1000""]","肿瘤相关抗原CA125测定试剂盒(化学发光法)","IMMULITE/IMMULITE1000 OM-MA","Publish","英国西门子医学诊断产品有限公司","Siemens Healthcare Diagnostics Products Limited","SHDPL","Glyn Rhonwy, Llanberis, Gwynedd LL55 4EL, United Kingdom","Llanberis","耗材","体外诊断试剂","肿瘤相关抗原CA125检测单位（LOP1)、肿瘤相关抗原CA125试剂楔(LOPA,LOPB)、肿瘤相关抗原CA125校正品（LOPL,LOPH)。（具体内容详见说明书）","本产品用于体外定量检测血清中CA125抗原。主要用于对恶性肿瘤患者进行动态监测以辅助判断疾病进程或治疗效果，不能作为恶性患者早期诊断或确诊的依据，不用于普通人群的肿瘤筛查。","西门子医学诊断产品(上海)有限公司","中国(上海)自由贸易试验区英伦路38号四层410、411、412室",,," ","是","否","07 Ⅲ-7 与肿瘤标志物检测相关的试剂","6840-179 癌抗原125（CA125）检测试剂","否","是"," ","2021_Renewal_II_国械注进20172402241","10380969,10380959","2021-07-16; 2021-07-16","2021-07-16; 2021-07-16","Wang Qing; Wang Qing","LKOP CA125","[]",,"2022-02-10 13:58","2024-08-23 13:36","2 ～ 8℃","1",,,"Yes","ZHOU, HUI","国械注进20172402241","CAI","CAI","False"
"7775","国械注进20172402240","10380944;10380945;","2004-05-24","2021-09-16","2026-09-15","Reagent","CAI","2","[""Immulite 1000""]","癌胚抗原测定试剂盒(化学发光法)","IMMULITE/IMMULITE1000 CEA","Publish","英国西门子医学诊断产品有限公司","Siemens Healthcare Diagnostics Products Limited","SHDPL","Glyn Rhonwy, Llanberis, Gwynedd LL55 4EL, United Kingdom","Llanberis","耗材","体外诊断试剂","癌胚抗原检测单位（LCE1）、癌胚抗原试剂楔（LCEA，LCEB）、癌胚抗原校正品（LCEL，LCEH）。（具体内容详见说明书）","该产品用于体外定量检测人血清中的癌胚抗原（CEA）。主要用于对恶性肿瘤患者进行动态监测以辅助判断疾病进程或治疗效果，不能作为恶性肿瘤早期诊断或确诊的依据，不用于普通人群的肿瘤筛查。","西门子医学诊断产品(上海)有限公司","中国(上海)自由贸易试验区英伦路38号四层410、411、412室",,," ","是","否","07 Ⅲ-7 与肿瘤标志物检测相关的试剂","6840-171 癌胚抗原（CEA）检测试剂","否","是","按照国家药监局关于调整《6840体外诊断试剂分类子目录（2013版）》部分内容的公告（2020年第112号），该产品的管理类别调整为二类。原注册证编号：国械注进20173402240","2017_Renewal_III_国械注进20173402240","10380944,10380945","2021-09-16; 2021-09-16","2021-09-16; 2021-09-16","Yu Ying Ying; Yu Ying Ying","LKCE癌胚抗原测定试剂盒","[]",,"2022-02-10 13:58","2024-08-23 13:36","2 ～ 8℃","1",,,"Yes","ZHOU, HUI","国械注进20172402240","CAI","CAI","False"
"7776","国械注进20172402218","10446037;","2007-04-19","2022-01-13","2027-06-27","Reagent","HHS","2","[""PP""]","载脂蛋白A-II测定试剂盒(散射比浊法)","N Apolipoprotein A-II","Publish","德国西门子医学诊断产品有限公司","Siemens Healthcare Diagnostics Products GmbH","SHDPG","Emil-von-Behring-Str. 76, 35041 Marburg, Germany","Marburg","耗材","体外诊断试剂","载脂蛋白 A-II 试剂，辅助试剂A。（具体内容详见说明书）","本产品用于体外定量检测人血清中的载脂蛋白A-II。","西门子医学诊断产品(上海)有限公司","中国(上海)自由贸易试验区英伦路38号四层410、411、412室",,,"6840-24-005用于酯类检测的试剂","是","否","14 Ⅱ-5 用于酯类检测的试剂","6840-387 载脂蛋白A2检测试剂","否","是","延续注册产品技术要求未发生变化，沿用原核发的产品技术要求。","2017_Renewal_II_国械注进20172402218
2020_Change_II_国械注进20172402218","10446037","2022-06-28","2022-01-13","Liu Jie","OQBA_N Apolipoprotein A-II","[]",,"2022-02-10 13:58","2024-08-23 13:36","2 ～ 8℃","1",,,"No","ZHOU, HUI","国械注进20172402218","HHS","HHS","False"
"7777","国械注进20172402170","10381178;10381177;","2005-05-24","2021-10-20","2027-06-28","Reagent","CAI","2","[""Immulite 2000""]","雌二醇测定试剂盒(化学发光法)","IMMULITE 2000 Estradiol","Publish","英国西门子医学诊断产品有限公司","Siemens Healthcare Diagnostics Products Limited","SHDPL","Glyn Rhonwy, Llanberis, Gwynedd LL55 4EL, United Kingdom","Llanberis","耗材","体外诊断试剂","雌二醇包被珠（L2E212）：带有条形码。一个包装200个，包被有多克隆兔抗雌二醇抗体。
雌二醇试剂楔（L2E2A2）：试剂楔带有条形码。11.5 mL与雌二醇结合的碱性磷酸酶（小牛小肠）缓冲液，含防腐剂。
雌二醇校正品（LE2L，LE2H）：两瓶（低浓度和高浓度），每瓶2 mL含雌二醇的经处理人血清，加入了防腐剂。（具体内容详见说明书）
","该产品用于定量检测血清中的雌二醇（estradiol -17β，E2）。","西门子医学诊断产品(上海)有限公司","中国(上海)自由贸易试验区英伦路38号四层410、411、412室",,,"6840-24-003用于激素检测的试剂","是","否","12 Ⅱ-3 用于激素检测的试剂","6840-324 雌二醇检测试剂","否","是",,"2017_Change_II_国械注进20172402170
_Renewal_II_国械注进20172402170","10381178,10381177","2022-06-29; 2022-06-29","2021-10-20; 2021-10-20","Wang Qing; Wang Qing","L2KE2 雌二醇测定试剂盒（化学发光法）","[]",,"2022-02-10 13:58","2024-08-23 13:36","2 ～ 8℃","1",,,"No","ZHOU, HUI","国械注进20172402170","CAI","CAI","False"
"7778","国械注进20172402167","11097607;10341132;10309496;10283343;","2004-03-06","2024-11-01","2027-06-28","Reagent","CAI","2","[""ADVIA Chem"",""Atellica CH"",""Atellica CI""]","天冬氨酸氨基转移酶测定试剂盒(速率法)","Aspartate Aminotransferase (AST) Reagents","Publish","美国西门子医学诊断股份有限公司","Siemens Healthcare Diagnostics Inc.","SHD Inc","511 Benedict Avenue, Tarrytown, New York 10591, USA","Tarrytown","耗材","体外诊断试剂","试剂1：L-天冬氨酸、苹果酸脱氢酶、乳酸脱氢酶（猪心脏）、叠氮钠；试剂2：α-酮戊二酸、还原型辅酶Ⅰ（NADH）、叠氮钠。（具体内容详见说明书）","本产品用于体外定量测量人血清和血浆中天冬氨酸氨基转移酶的活性。","西门子医学诊断产品(上海)有限公司","中国(上海)自由贸易试验区英伦路38号四层410、411、412室",,,"6840-24-004用于酶类检测的试剂","是","否","13 Ⅱ-4 用于酶类检测的试剂","6840-344 天门冬氨酸氨基转移酶检测试剂","否","是",,"2017_Renewal_II_国械注进20172402167
2018_Change_II_国械注进20172402167
___国械注进20172402167","11097607,10341132,10309496,10283343","2024-11-01; 2022-06-29; 2022-06-29; 2022-06-29","2024-11-01; 2021-12-23; 2021-12-23; 2021-12-23","Wang Yi He; Wang Yi He; Wang Yi He; Wang Yi He","AST","[]","Song Yuan Yuan","2022-02-10 13:58","2024-11-08 09:35","2 ～ 8℃","1","FY23_M204","AST","No","SONG, YUAN YUAN-Alice","国械注进20172402167","CAI","CAI","False"
"7779","国械注进20172401915","10381448;",,"2017-06-28","2022-06-27","Reagent","CAI","2","[""Immulite 2000""]","胰岛素样生长因子-I测定试剂盒(化学发光法)","IMMULITE2000 IGF-I","Expired","英国西门子医学诊断产品有限公司","Siemens Healthcare Diagnostics Products Limited","SHDPL","Glyn Rhonwy, Llanberis, Gwynedd LL55 4EL, United Kingdom","Llanberis","耗材","体外诊断试剂","该产品含有胰岛素样生长因子-I包被珠（L2GF12）、胰岛素样生长因子-I试剂楔（L2GFA2）、胰岛素样生长因子-I校正品（LGFL，LGFH）、胰岛素样生长因子-I 样本稀释液（L2GFZ）。（具体内容详见说明书）","该产品用于体外定量检测血清或肝素化血浆中胰岛素样生长因子-I（IGF-I）含量。","西门子医学诊断产品(上海)有限公司","中国(上海)自由贸易试验区英伦路38号四层410、411、412室",,,"6840-24-001用于蛋白质检测的试剂","是","否","10 Ⅱ-1 用于蛋白质检测的试剂","6840-302 胰岛素样生长因子结合蛋白检测试剂","否","是"," ","2017_Renewal_II_国械注进20172401915","10381448","2018-12-18","2018-12-18","Gao Fen","L2KGF 胰岛素样生长因子-I测定试剂盒（化学发光法）","[]",,"2022-02-10 13:58","2024-05-21 21:06","2 ～ 8℃","1",,,,"Chen, Shu","国械注进20172401915","CAI","CAI","False"
"7780","国械注进20172401911","10385587;","2011-03-04","2021-11-02","2027-06-27","Reagent","CAI","2","[""Immulite 1000"",""Immulite 2000""]","Beta-2微球蛋白质控品","IMMULITE Beta-2 Microglobulin Control Module","Publish","英国西门子医学诊断产品有限公司","Siemens Healthcare Diagnostics Products Limited","SHDPL","Glyn Rhonwy, Llanberis, Gwynedd LL55 4EL, United Kingdom","Llanberis","耗材","体外诊断试剂","质控水平1（BMC1）、质控水平2（BMC2）、质控水平3（BMC3）：含有不同浓度Beta-2微球蛋白的冻干产品，基质为人工合成。","本产品用于Beta-2微球蛋白检测时的质量控制。","西门子医学诊断产品(上海)有限公司","中国(上海)自由贸易试验区英伦路38号四层410、411、412室",,," ","是","否","07 Ⅲ-7 与肿瘤标志物检测相关的试剂","6840-186 β2微球蛋白（β2 MG)检测试剂","否","是","延续注册产品技术要求未发生变化，沿用原核发的产品技术要求。","2017_Renewal_II_国械注进20172401911","10385587","2022-06-28","2021-11-02","0","BMCM Beta-2微球蛋白质控品","[]",,"2022-02-10 13:58","2024-08-23 13:36","2 ～ 8℃","1",,,"No","ZHOU, HUI","国械注进20172401911","CAI","CAI","False"
"7781","国械注进20172401905","10309049;",,"2017-06-28","2022-06-27","Reagent","CAI","2","[""ADVIA Chem""]","碱性磷酸酶测定试剂盒(速率法)","Alkaline Phosphatase Reagents(ALPAMP)","Expired","美国西门子医学诊断股份有限公司","Siemens Healthcare Diagnostics Inc.","SHD Inc","511 Benedict Avenue, Tarrytown, New York 10591, USA","Tarrytown","耗材","体外诊断试剂","试剂1：2-氨基-2-甲基-1丙醇（AMP）、叠氮钠；试剂2：对硝基苯磷酸盐、叠氮钠。（具体内容详见说明书）","本产品用于体外定量测定人血清和血浆中碱性磷酸酶的活性。","西门子医学诊断产品(上海)有限公司","中国(上海)自由贸易试验区英伦路38号四层410、411、412室",,,"6840-24-004用于酶类检测的试剂","是","否","13 Ⅱ-4 用于酶类检测的试剂","6840-346 碱性磷酸酶检测试剂","否","是"," ","2017_Renewal_II_国械注进20172401905","10309049","2017-06-28","2017-06-28","Li Yun","Unknown","[]",,"2022-02-10 13:58","2024-05-21 21:06","2 ～ 8℃","1",,,,"Chen, Shu","国械注进20172401905","CAI","CAI","False"
"7782","国械注进20172401904","10446594;","2005-10-17","2022-01-14","2027-06-27","Reagent","HHS","2","[""PP""]","免疫球蛋白κ型轻链测定试剂盒(散射比浊法)","N Antisera to Human Ig/L-chain,κ type","Publish","德国西门子医学诊断产品有限公司","Siemens Healthcare Diagnostics Products GmbH","SHDPG","Emil-von-Behring-Str. 76, 35041 Marburg, Germany","Marburg","耗材","体外诊断试剂","本产品是用高纯度人免疫球蛋白/轻链通过在兔子身上进行免疫反应而制成的液体抗血清，含防腐剂叠氮钠< 1g/L。","本产品用于体外定量检测人血清和尿液中结合的和游离的κ型人免疫球蛋白轻链。","西门子医学诊断产品(上海)有限公司","中国(上海)自由贸易试验区英伦路38号四层410、411、412室",,,"6840-24-001用于蛋白质检测的试剂","是","否","10 Ⅱ-1 用于蛋白质检测的试剂","6840-304 κ轻链检测试剂","否","是","延续注册产品技术要求未发生变化，沿用原核发的产品技术要求。","2017_Renewal_II_国械注进20172401904
2020_Change_II_国械注进20172401904","10446594","2022-06-28","2022-01-14","Liu Jie","OWHG_ IgL-chain, κ type","[]",,"2022-02-10 13:58","2024-08-23 13:36","2 ～ 8℃","1",,,"No","ZHOU, HUI","国械注进20172401904","HHS","HHS","False"
"7783","国械注进20172401903","10381193;10381179;","2005-12-27","2021-10-20","2027-06-27","Reagent","CAI","2","[""Immulite 2000""]","硫酸去氢表雄酮测定试剂盒(化学发光法)","IMMULITE2000 DHEA-SO4","Publish","英国西门子医学诊断产品有限公司","Siemens Healthcare Diagnostics Products Limited","SHDPL","Glyn Rhonwy, Llanberis, Gwynedd LL55 4EL, United Kingdom","Llanberis","耗材","体外诊断试剂","硫酸去氢表雄酮包被珠（L2DS12）、硫酸去氢表雄酮试剂楔（L2DSA2）、硫酸去氢表雄酮校正品（LDSL，LDSH）。（具体内容详见说明书）","该产品用于体外定量检测血清中的硫酸去氢表雄酮。","西门子医学诊断产品(上海)有限公司","中国(上海)自由贸易试验区英伦路38号四层410、411、412室",,,"6840-24-003用于激素检测的试剂","是","否","12 Ⅱ-3 用于激素检测的试剂","6840-338 硫酸去氢表雄酮检测试剂","否","是","延续注册产品技术要求未发生变化，沿用原核发的产品技术要求。","2017_Renewal_II_国械注进20172401903","10381193,10381179","2022-06-28; 2022-06-28","2021-10-20; 2021-10-20","Wang Qing; Wang Qing","L2KDS 硫酸去氢表雄酮测定试剂盒（化学发光法）","[]",,"2022-02-10 13:58","2024-08-23 13:36","2 ～ 8℃","1",,,"No","ZHOU, HUI","国械注进20172401903","CAI","CAI","False"
"7784","国械注进20172401900","10380914;10380913;","2005-05-24","2021-10-20","2027-06-27","Reagent","CAI","2","[""Immulite 2000""]","维生素B12测定试剂盒(化学发光法)","IMMULITE2000 Vitamin  B12","Publish","英国西门子医学诊断产品有限公司","Siemens Healthcare Diagnostics Products Limited","SHDPL","Glyn Rhonwy, Llanberis, Gwynedd LL55 4EL, United Kingdom","Llanberis","耗材","体外诊断试剂","维生素B12包被珠（L2VB12）、维生素B12 “A”试剂楔（L2VBA2）、维生素B12 “D”试剂楔（L2VBD2）、维生素B12校正品（LVBL，LVBH）。（具体内容详见说明书）","该产品用于定量检测血清或肝素化血浆中的维生素B12。","西门子医学诊断产品(上海)有限公司","中国(上海)自由贸易试验区英伦路38号四层410、411、412室",,,"6840-24-006用于维生素检测的试剂","是","否","15 Ⅱ-6 用于维生素检测的试剂","6840-397 维生素B12检测试剂","否","是","延续注册产品技术要求未发生变化，沿用原核发的产品技术要求。","2017_Renewal_II_国械注进20172401900","10380914,10380913","2022-06-28; 2022-06-28","2021-10-20; 2021-10-20","0; 0","L2KVB 维生素B12测定试剂盒（化学发光法）","[]",,"2022-02-10 13:58","2024-08-23 13:36","2 ～ 8℃","1",,,"No","ZHOU, HUI","国械注进20172401900","CAI","CAI","False"
"7785","国械注进20172401899","10446596;","2005-10-17","2021-12-16","2027-06-27","Reagent","HHS","2","[""PP""]","免疫球蛋白λ型轻链测定试剂盒(散射比浊法)","N Antisera to Human Ig/L-chain,λ type","Publish","德国西门子医学诊断产品有限公司","Siemens Healthcare Diagnostics Products GmbH","SHDPG","Emil-von-Behring-Str. 76, 35041 Marburg, Germany","Marburg","耗材","体外诊断试剂","本产品是用高纯度人免疫球蛋白/轻链通过在兔子身上进行免疫反应而制成的液体抗血清，含防腐剂叠氮钠< 1g/L。","本产品用于体外定量检测人血清和尿液中结合的和游离的λ型人免疫球蛋白轻链。","西门子医学诊断产品(上海)有限公司","中国(上海)自由贸易试验区英伦路38号四层410、411、412室",,,"6840-24-001用于蛋白质检测的试剂","是","否","10 Ⅱ-1 用于蛋白质检测的试剂","6840-305 λ轻链检测试剂","否","是","延续注册产品技术要求未发生变化，沿用原核发的产品技术要求。","2017_Renewal_II_国械注进20172401899
2020_Change_II_国械注进20172401899","10446596","2022-06-28","2021-12-16","Liu Jie","OWHH_ IgL-chain, λ type","[]",,"2022-02-10 13:58","2024-08-23 13:36","2 ～ 8℃","1",,,"No","ZHOU, HUI","国械注进20172401899","HHS","HHS","False"
"7786","国械注进20172401896","10446313;","2005-10-17","2020-09-21","2025-09-20","Reagent","HHS","2","[""PP""]","纤维蛋白原测定试剂盒(散射比浊法)","N Antiserum to Human-Fibrinogen","Publish","德国西门子医学诊断产品有限公司","Siemens Healthcare Diagnostics Products GmbH","SHDPG","Emil-von-Behring-Str. 76, 35041 Marburg, Germany","Marburg","耗材","体外诊断试剂","本产品是用高纯度人纤维蛋白原通过在兔子身上进行免疫反应而制成的液体血清，活性抗体浓度<16.5 g/L；含防腐剂叠氮化钠 <1g/L。","本产品用于体外定量检测人血浆中的纤维蛋白原。","西门子医学诊断产品(上海)有限公司","中国(上海)自由贸易试验区英伦路38号四层410、411、412室",,,"6840-24-012用于其他生理、生化或者免疫功能指标检测的试剂","是","否","20 Ⅱ-11 用于其他生理、生化或免疫功能指标检测的试剂","6840-627 纤维蛋白原(FIB)检测试剂","否","是"," ","2017_Renewal_II_国械注进20172401896
2020_Change_II_国械注进20172401896
_Renewal_II_国械注进20172401896","10446313","2020-09-21","2020-09-21","Liu Jie","OSCA_Fibrinogen","[]",,"2022-02-10 13:58","2024-08-23 13:36","2 ～ 8℃","1",,,"Yes","ZHOU, HUI","国械注进20172401896","HHS","HHS","False"
"7787","国械注进20172401895","10446462;","2007-04-19","2021-12-22","2027-06-27","Reagent","HHS","2","[""PP""]","纤维连接蛋白测定试剂盒(散射比浊法)","N Antiserum to Human Fibronectin","Publish","德国西门子医学诊断产品有限公司","Siemens Healthcare Diagnostics Products GmbH","SHDPG","Emil-von-Behring-Str. 76, 35041 Marburg, Germany","Marburg","耗材","体外诊断试剂","本产品是用高纯度人纤维连接蛋白通过在兔子身上进行免疫反应而制成的液体抗血清，含防腐剂叠氮化钠 < 1g/L。","本产品用于体外定量检测人血浆中的纤维连接蛋白。","西门子医学诊断产品(上海)有限公司","中国(上海)自由贸易试验区英伦路38号四层410、411、412室",,,"6840-24-012用于其他生理、生化或者免疫功能指标检测的试剂","是","否","20 Ⅱ-11 用于其他生理、生化或免疫功能指标检测的试剂","6840-637 纤维连接蛋白检测试剂","否","是","延续注册产品技术要求未发生变化，沿用原核发的产品技术要求。","2017_Renewal_II_国械注进20172401895
2020_Change_II_国械注进20172401895","10446462","2022-06-28","2021-12-22","Liu Jie","OUND_Fibronectin","[]",,"2022-02-10 13:58","2024-08-23 13:36","2 ～ 8℃","1",,,"No","ZHOU, HUI","国械注进20172401895","HHS","HHS","False"
"7788","国械注进20172401874","11097593;10311836;10309051;","2004-02-10","2024-04-08","2027-06-27","Reagent","CAI","2","[""ADVIA Chem"",""Atellica CH""]","尿素氮测定试剂盒(脲酶法)","Urea Nitrogen(UN)Reagents","Publish","美国西门子医学诊断股份有限公司","Siemens Healthcare Diagnostics Inc.","SHD Inc","511 Benedict Avenue, Tarrytown, New York 10591, USA","Tarrytown","耗材","体外诊断试剂","试剂1：还原型烟酰胺腺嘌呤二核苷酸（NADH）、叠氮钠；试剂2：尿素酶、谷氨酸脱氢酶（GLDH）、α-酮戊二酸、叠氮钠。（具体内容详见说明书）","该产品用于体外定量检测人类血清、血浆（肝素锂）中的尿素氮（氮代谢的最终产物）。","西门子医学诊断产品(上海)有限公司","中国(上海)自由贸易试验区英伦路38号四层410、411、412室",,,"6840-24-012用于其他生理、生化或者免疫功能指标检测的试剂","是","否","20 Ⅱ-11 用于其他生理、生化或免疫功能指标检测的试剂","6840-682 尿素检测试剂","否","是"," ","2017_Renewal_II_国械注进20172401874
2018_Change_II_国械注进20172401874
2021_Change_II_国械注进20172401874","11097593,10311836,10309051","2024-04-08; 2024-04-08; 2024-04-08","2024-04-08; 2024-04-08; 2024-04-08","Zhang Tingting; Zhang Tingting; Zhang Tingting","UN","[]","Lai Liu Lian","2022-02-10 13:58","2024-08-23 13:36","2 ～ 8℃","1","FY22259","UN","No","ZHOU, HUI","国械注进20172401874","CAI","CAI","False"
"7789","国械注进20172401781","10491244;10491379;10995490;10995489","2009-12-16","2021-11-04","2027-06-25","Reagent","CAI","2","[""Centaur"",""Atellica IM""]","糖抗原19-9测定试剂盒(直接化学发光法)","CA 19-9","Publish","美国西门子医学诊断股份有限公司","Siemens Healthcare Diagnostics Inc.","SHD Inc","511 Benedict Avenue, Tarrytown, New York 10591, USA","Tarrytown","耗材","体外诊断试剂","标记试剂、固相试剂、标准曲线卡、低值校准品、高值校准品、校准品条形码标签、校准品赋值卡。(具体内容详见说明书）","该产品用于体外定量测定人血清中的糖抗原19-9。主要用于对恶性肿瘤患者进行动态监测以辅助判断疾病进程或治疗效果，不能作为恶性肿瘤早期诊断或确诊的依据，不用于普通人群的肿瘤筛查。","西门子医学诊断产品(上海)有限公司","中国(上海)自由贸易试验区英伦路38号四层410、411、412室",,," ","是","否","07 Ⅲ-7 与肿瘤标志物检测相关的试剂","6840-181 糖类抗原19-9（CA19-9）检测试剂","否","是","按照国家药监局关于调整《6840体外诊断试剂分类子目录（2013版）》部分内容的公告（2020年第112号），该产品的管理类别调整为二类。","2017_Renewal_III_国械注进20173401781
2018_Change_III_国械注进20173401781","10491244,10491379,10995490,10995489","2022-06-26; 2022-06-26; 2022-06-26; 2022-06-26","2021-11-04; 2021-11-04; 2021-11-04; 2021-11-04","Wang Qing; Wang Qing; Wang Qing; Wang Qing","CA 19-9","[]",,"2022-02-10 13:58","2024-08-23 13:36","2 ～ 8℃","1",,,"No","ZHOU, HUI","国械注进20172401781","CAI","CAI","False"
"7790","国械注进20172401748","11097590;10335870;10311832;","2010-01-14","2024-04-24","2027-06-25","Reagent","CAI","2","[""ADVIA Chem"",""Atellica CH""]","白蛋白测定试剂盒(溴甲酚绿法)","Albumin Reagents(ALB) ","Publish","美国西门子医学诊断股份有限公司","Siemens Healthcare Diagnostics Inc.","SHD Inc","511 Benedict Avenue, Tarrytown, New York 10591, USA","Tarrytown","耗材","体外诊断试剂","溴甲酚绿、防腐剂。（具体内容详见说明书）","本产品用于体外定量测定人血清和血浆（肝素锂）中的白蛋白。","西门子医学诊断产品(上海)有限公司","中国(上海)自由贸易试验区英伦路38号四层410、411、412室","NA","NA","6840-24-001用于蛋白质检测的试剂","是","否","10 Ⅱ-1 用于蛋白质检测的试剂","6840-254 白蛋白检测试剂","否","是"," /","2017_Renewal_II_国械注进20172401748
2019_Change_II_国械注进20172401748","11097590,10335870,10311832","2024-04-24; 2024-04-24; 2022-06-26","2024-04-24; 2024-04-24; 2021-12-14","Wang Yi He; Wang Yi He; Wang Yi He","ALB","[]","Liu Chang","2022-02-10 13:58","2024-08-23 13:36","15 ～ 25℃","1","FY23_M14","ALB","No","ZHOU, HUI","国械注进20172401748","CAI","CAI","False"
"7791","国械注进20172401741","10995519;10309996;","2005-07-02","2024-10-17","2027-06-25","Reagent","CAI","2","[""Centaur"",""Atellica IM""]","多项校准品","Calibrator U","WaitApproval","美国西门子医学诊断股份有限公司","Siemens Healthcare Diagnostics Inc.","SHD Inc","511 Benedict Avenue, Tarrytown, New York 10591, USA","Tarrytown","耗材","体外诊断试剂","冻干状态，主要成分为肌红蛋白、肌钙蛋白I、山羊血清、防腐剂、稳定剂。(具体内容详见说明书）","该产品用于肌红蛋白项目测试的校准。","西门子医学诊断产品(上海)有限公司","中国(上海)自由贸易试验区英伦路38号四层410、411、412室","NA","NA","6840-24-001用于蛋白质检测的试剂","是","否","10 Ⅱ-1 用于蛋白质检测的试剂","6840-258 肌红蛋白检测试剂","否","是"," 本文件与“国械注进20172401741”注册证共同使用。","2017_Renewal_II_国械注进20172401741
2018_Change_II_国械注进20172401741","10995519,10309996","2024-10-17; 2024-10-17","2024-10-17; 2024-10-17","Wang Qing; Wang Qing","Calibrator U","[]","Xiao Yuan","2022-02-10 13:58","2024-11-15 18:04","2 ～ 8℃","1","FY23_M36","Calibrator U","No","Xiao, Yuan","国械注进20172401741","CAI","CAI","False"
"7792","国械注进20172401740","10492394;",,"2017-06-26","2022-06-25","Reagent","CAI","2","[""Centaur""]","全段甲状旁腺激素校准液","Intact PTH Calibrator","Expired","美国西门子医学诊断股份有限公司","Siemens Healthcare Diagnostics Inc.","SHD Inc","511 Benedict Avenue, Tarrytown, New York 10591, USA","Tarrytown","耗材","体外诊断试剂","为冻干状态，复溶后，低或高水平的全段甲状旁腺激素，置于马血清和牛血清白蛋白和防腐剂的磷酸盐缓冲液中。","该产品用于体外对全段甲状旁腺激素测试项目的校准。","西门子医学诊断产品(上海)有限公司","中国(上海)自由贸易试验区英伦路38号四层410、411、412室",,,"#N/A","是","否","12 Ⅱ-3 用于激素检测的试剂","6840-322 全段甲状旁腺激素检测试剂","否","是"," ","2017_Renewal_II_国械注进20172401740","10492394","2018-12-05","2018-12-05","Zhang Tingting","intact PTH Calibrator","[]",,"2022-02-10 13:58","2024-05-21 21:06","<=-20℃","1",,,,"Chen, Shu","国械注进20172401740","CAI","CAI","False"
